t,C,sigma,norm
446,0.9980871243886171,1.0,0.05734819687941839
447,0.9980902299337175,1.0,0.05725408169446549
448,0.9980933208674341,1.0,0.057160269379643754
449,0.9980963972992472,1.0,0.0570667582797607
450,0.9980994593375202,1.0,0.05697354675253497
451,0.9981025070895131,1.0,0.056880633168466095
452,0.9981055406613966,1.0,0.056788015910705834
453,0.998108560158265,1.0,0.05669569337493135
454,0.9981115656841535,1.0,0.056603663969219516
455,0.998114557342048,1.0,0.0565119261139232
456,0.9981175352338993,1.0,0.05642047824154876
457,0.9981204994606385,1.0,0.0563293187966352
458,0.9981234501221875,1.0,0.05623844623563466
459,0.9981263873174718,1.0,0.05614785902679456
460,0.9981293111444347,1.0,0.05605755565004093
461,0.998132221700048,1.0,0.05596753459686335
462,0.9981351190803255,1.0,0.05587779437020114
463,0.9981380033803335,1.0,0.05578833348433107
464,0.9981408746942043,1.0,0.055699150464756216
465,0.9981437331151458,1.0,0.055610243848096326
466,0.998146578735455,1.0,0.05552161218197948
467,0.9981494116465277,1.0,0.05543325402493487
468,0.9981522319388711,1.0,0.055345167946287105
469,0.9981550397021133,1.0,0.05525735252605157
470,0.9981578350250143,1.0,0.05516980635483117
471,0.9981606179954778,1.0,0.055082528033714204
472,0.9981633887005601,1.0,0.05499551617417344
473,0.9981661472264813,1.0,0.05490876939796646
474,0.9981688936586354,1.0,0.05482228633703713
475,0.998171628081601,1.0,0.054736065633418166
476,0.9981743505791484,1.0,0.054650105939134976
477,0.998177061234254,1.0,0.054564405916110476
478,0.9981797601291041,1.0,0.05447896423607117
479,0.9981824473451097,1.0,0.054393779580454146
480,0.9981851229629124,1.0,0.0543088506403153
481,0.9981877870623949,1.0,0.05422417611623856
482,0.9981904397226897,1.0,0.05413975471824618
483,0.9981930810221882,1.0,0.054055585165710025
484,0.9981957110385493,1.0,0.05397166618726389
485,0.9981983298487087,1.0,0.05388799652071691
486,0.9982009375288851,1.0,0.05380457491296785
487,0.9982035341545923,1.0,0.05372140011992037
488,0.9982061198006438,1.0,0.053638470906399435
489,0.9982086945411648,1.0,0.053555786046068414
490,0.9982112584495955,1.0,0.05347334432134734
491,0.9982138115987043,1.0,0.05339114452333195
492,0.9982163540605907,1.0,0.05330918545171378
493,0.9982188859066968,1.0,0.05322746591470098
494,0.9982214072078133,1.0,0.053145984728940235
495,0.9982239180340865,1.0,0.05306474071943936
496,0.9982264184550261,1.0,0.052983732719490924
497,0.9982289085395137,1.0,0.05290295957059662
498,0.9982313883558093,1.0,0.05282242012239254
499,0.9982338579715566,1.0,0.05274211323257526
500,0.998236317453792,1.0,0.05266203776682879
501,0.9982387668689517,1.0,0.05258219259875223
