t,peak,symmetry_error,chi,norm
546,1.1643172907,0.0065614035,0.0118918455,4.8406662985
547,1.1644382329,0.0067182500,0.0125962143,4.8421562203
548,1.1656315491,0.0069124432,0.0161387817,4.8445300666
549,1.1666827984,0.0068003782,0.0125570912,4.8459318742
550,1.1674828580,0.0065208233,0.0158595790,4.8473817939
551,1.1682128405,0.0062952957,0.0095798436,4.8480070603
552,1.1694219434,0.0063141986,0.0137181835,4.8489093960
553,1.1700714899,0.0061380442,0.0139913587,4.8502848684
554,1.1699128688,0.0061486043,0.0060010765,4.8495701807
555,1.1713530041,0.0063332778,0.0128425854,4.8510722067
556,1.1716879009,0.0064427081,0.0104622599,4.8520768235
557,1.1705607101,0.0062542616,0.0028603778,4.8500837983
558,1.1713213458,0.0064104548,0.0166003521,4.8524622504
559,1.1716185110,0.0064793120,0.0102630783,4.8524716698
560,1.1720671314,0.0066009799,0.0079085277,4.8527183513
561,1.1713730567,0.0061264918,0.0101888796,4.8528878829
562,1.1716449176,0.0062121813,0.0126633615,4.8542310629
563,1.1729979059,0.0060007742,0.0192379655,4.8580339939
564,1.1739725526,0.0063050760,0.0112035206,4.8592515614
565,1.1740291133,0.0061846653,0.0142675560,4.8605886451
566,1.1746110341,0.0063064124,0.0185931810,4.8627195803
567,1.1753321673,0.0064138843,0.0145610426,4.8644144962
568,1.1758461057,0.0063123538,0.0171291080,4.8667721681
569,1.1762899950,0.0063127351,0.0097127527,4.8671044326
570,1.1772641295,0.0061785135,0.0157010368,4.8691563085
571,1.1780585996,0.0060724717,0.0117217152,4.8697782711
572,1.1790381558,0.0062594776,0.0171571739,4.8722549392
573,1.1787763660,0.0064253812,0.0071829141,4.8716326879
574,1.1787418431,0.0061358584,0.0082581228,4.8716998290
575,1.1799474454,0.0063612904,0.0180899115,4.8746156350
576,1.1804735246,0.0063266113,0.0110587969,4.8749009167
577,1.1810969767,0.0064605564,0.0102769889,4.8752804946
578,1.1812047495,0.0065009323,0.0123723476,4.8764775385
579,1.1811445601,0.0063930222,0.0086904122,4.8765353120
580,1.1812671902,0.0062271832,0.0183933186,4.8793012814
581,1.1811271593,0.0062193467,0.0060040193,4.8788456332
582,1.1816374750,0.0059386711,0.0112771296,4.8806075525
